age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
36.0,Management,Single,Tertiary,No,4087.0,Yes,No,Cellular,30,May,917.0,1,-1,0,New_customer,1
38.0,Technician,Married,Secondary,No,226.0,Yes,No,Cellular,30,May,762.0,3,-1,0,New_customer,1
36.0,Blue-Collar,Single,Secondary,No,366.0,Yes,Yes,Cellular,30,May,1033.0,2,-1,0,New_customer,1
37.0,Management,Divorced,Secondary,No,16.0,Yes,No,Cellular,30,May,638.0,1,-1,0,New_customer,1
35.0,Management,Single,Tertiary,No,565.0,Yes,No,Cellular,30,May,763.0,1,-1,0,New_customer,1
38.0,Admin,Divorced,Secondary,No,19.0,Yes,No,Cellular,30,May,604.0,2,-1,0,New_customer,1
40.0,Services,Married,Primary,No,1082.0,Yes,No,Cellular,30,May,854.0,2,-1,0,New_customer,1
42.0,Unemployed,Divorced,Secondary,No,1713.0,Yes,No,Cellular,30,May,855.0,2,-1,0,New_customer,1
46.0,Management,Divorced,Tertiary,No,4087.0,Yes,No,Cellular,30,May,1033.0,1,-1,0,New_customer,1
35.0,Technician,Divorced,Secondary,No,4087.0,Yes,No,Cellular,30,May,691.0,6,-1,0,New_customer,1
34.0,Technician,Divorced,Secondary,No,1451.0,Yes,No,Cellular,30,May,1033.0,6,-1,0,New_customer,1
32.0,Services,Married,Secondary,No,-34.0,Yes,No,Cellular,30,May,1033.0,2,-1,0,New_customer,1
50.0,Unemployed,Married,Secondary,No,3674.0,Yes,No,Cellular,30,May,886.0,3,-1,0,New_customer,1
35.0,Blue-Collar,Married,Secondary,No,698.0,Yes,Yes,Cellular,30,May,1033.0,3,-1,0,New_customer,1
36.0,Technician,Single,Secondary,No,4087.0,Yes,No,Cellular,30,May,812.0,3,-1,0,New_customer,1
53.0,Blue-Collar,Divorced,Primary,No,2656.0,Yes,No,Cellular,30,May,1033.0,2,-1,0,New_customer,1
46.0,Management,Single,Tertiary,No,2904.0,Yes,No,Cellular,30,May,984.0,2,-1,0,New_customer,1
26.0,Management,Single,Tertiary,No,1004.0,Yes,No,Cellular,30,May,228.0,2,-1,0,New_customer,1
45.0,Technician,Single,Secondary,No,410.0,Yes,No,Cellular,30,May,891.0,4,-1,0,New_customer,1
31.0,Unemployed,Divorced,Primary,No,0.0,Yes,No,Cellular,30,May,745.0,6,-1,0,New_customer,1
29.0,Management,Single,Tertiary,No,0.0,Yes,No,Cellular,30,May,539.0,6,-1,0,New_customer,1
53.0,Entrepreneur,Single,Secondary,No,62.0,Yes,No,Cellular,30,May,1033.0,5,-1,0,New_customer,1
27.0,Blue-Collar,Married,Primary,No,416.0,Yes,No,Cellular,30,May,1033.0,2,-1,0,New_customer,1
39.0,Management,Married,Tertiary,No,2763.0,Yes,No,Cellular,2,Jun,526.0,2,-1,0,New_customer,1
36.0,Services,Married,Secondary,No,2984.0,Yes,No,Cellular,2,Jun,394.0,1,-1,0,New_customer,1
41.0,Blue-Collar,Married,Primary,No,143.0,Yes,Yes,Cellular,2,Jun,659.0,2,-1,0,New_customer,1
36.0,Services,Married,Primary,No,0.0,Yes,No,Cellular,2,Jun,1033.0,1,-1,0,New_customer,1
32.0,Technician,Married,Secondary,No,696.0,Yes,No,Cellular,2,Jun,815.0,1,-1,0,New_customer,1
35.0,Services,Married,Secondary,No,152.0,Yes,No,Cellular,2,Jun,563.0,1,-1,0,New_customer,1
36.0,Management,Single,Tertiary,No,-78.0,Yes,No,Cellular,2,Jun,1033.0,1,-1,0,New_customer,1
35.0,Management,Married,Tertiary,No,867.0,Yes,No,Cellular,2,Jun,230.0,3,-1,0,New_customer,1
30.0,Blue-Collar,Single,Secondary,No,953.0,Yes,No,Cellular,2,Jun,747.0,2,-1,0,New_customer,1
42.0,Blue-Collar,Married,Secondary,No,443.0,Yes,No,Cellular,2,Jun,671.0,5,-1,0,New_customer,1
42.0,Technician,Single,Secondary,Yes,-1129.0,Yes,No,Cellular,2,Jun,555.0,5,-1,0,New_customer,1
32.0,Blue-Collar,Married,Primary,No,415.0,Yes,No,Cellular,2,Jun,777.0,4,-1,0,New_customer,1
29.0,Blue-Collar,Single,Secondary,No,260.0,Yes,No,Cellular,2,Jun,707.0,6,-1,0,New_customer,1
44.0,Management,Divorced,Tertiary,Yes,-411.0,Yes,No,Cellular,2,Jun,432.0,4,-1,0,New_customer,1
32.0,Technician,Single,Secondary,No,1279.0,Yes,No,Cellular,3,Jun,1033.0,3,-1,0,New_customer,1
31.0,Unemployed,Married,Secondary,No,86.0,Yes,Yes,Cellular,3,Jun,963.0,2,-1,0,New_customer,1
40.0,Self-Employed,Married,Secondary,Yes,-754.0,Yes,Yes,Cellular,3,Jun,941.0,3,-1,0,New_customer,1
43.0,Entrepreneur,Married,Secondary,No,0.0,No,No,Cellular,3,Jun,1025.0,6,-1,0,New_customer,1
27.0,Management,Single,Secondary,No,178.0,Yes,No,Cellular,3,Jun,732.0,2,-1,0,New_customer,1
37.0,Services,Single,Secondary,No,278.0,Yes,No,Cellular,3,Jun,1033.0,3,-1,0,New_customer,1
23.0,Services,Single,Secondary,No,425.0,Yes,No,Cellular,3,Jun,768.0,1,-1,0,New_customer,1
25.0,Management,Married,Primary,No,168.0,Yes,No,Cellular,3,Jun,801.0,1,-1,0,New_customer,1
26.0,Blue-Collar,Single,Secondary,Yes,-36.0,Yes,No,Cellular,3,Jun,482.0,2,-1,0,New_customer,1
47.0,Blue-Collar,Divorced,Primary,No,126.0,Yes,No,Cellular,3,Jun,1033.0,2,-1,0,New_customer,1
35.0,Admin,Married,Secondary,No,-87.0,Yes,No,Cellular,3,Jun,1033.0,6,-1,0,New_customer,1
32.0,Technician,Single,Tertiary,No,4087.0,Yes,No,Cellular,3,Jun,1033.0,4,-1,0,New_customer,1
45.0,Management,Divorced,Secondary,No,644.0,Yes,No,Cellular,4,Jun,633.0,1,-1,0,New_customer,1
30.0,Admin,Divorced,Secondary,No,377.0,Yes,No,Cellular,4,Jun,524.0,6,-1,0,New_customer,1
29.0,Services,Single,Secondary,No,-271.0,Yes,No,Cellular,4,Jun,578.0,1,-1,0,New_customer,1
38.0,Blue-Collar,Married,Primary,No,4087.0,Yes,No,Cellular,4,Jun,984.0,2,-1,0,New_customer,1
23.0,Blue-Collar,Single,Secondary,No,492.0,Yes,No,Cellular,4,Jun,638.0,1,-1,0,New_customer,1
27.0,Management,Single,Tertiary,No,99.0,Yes,No,Cellular,4,Jun,767.0,2,-1,0,New_customer,1
27.0,Management,Single,Tertiary,Yes,-713.0,Yes,No,Cellular,4,Jun,525.0,2,-1,0,New_customer,1
29.0,Services,Single,Secondary,No,32.0,Yes,No,Cellular,4,Jun,563.0,1,-1,0,New_customer,1
30.0,Self-Employed,Married,Tertiary,No,543.0,Yes,Yes,Cellular,4,Jun,1033.0,6,-1,0,New_customer,1
36.0,Blue-Collar,Married,Primary,No,403.0,Yes,No,Cellular,4,Jun,920.0,1,-1,0,New_customer,1
35.0,Admin,Divorced,Secondary,No,437.0,Yes,No,Cellular,4,Jun,908.0,1,-1,0,New_customer,1
36.0,Blue-Collar,Married,Secondary,No,1772.0,No,No,Cellular,5,Jun,208.0,1,-1,0,New_customer,1
59.0,Retired,Divorced,Primary,No,-88.0,Yes,No,Cellular,5,Jun,910.0,2,-1,0,New_customer,1
